Date,ha_open,ha_high,ha_low,ha_close,volume
2008-06-20 09:15:00,48.89500338,48.89500338,46.08,47.535,1969490.0
2008-06-23 09:15:00,48.21500169,48.21500169,42.82,44.38,3004072.5
2008-06-24 09:15:00,46.29750084,46.29750084,42.44,43.975,2163755.0
2008-06-25 09:15:00,45.13625042,45.13625042,43.06,43.93,1471010.0
2008-06-26 09:15:00,44.53312521,44.96,43.12,44.175,2924425.0
2008-06-27 09:15:00,44.3540626,44.3540626,42.08,42.795,2554205.0
2008-06-30 09:15:00,43.5745313,43.6,40.42,42.145,2821245.0
2008-07-01 09:15:00,42.85976565,42.85976565,39.0799988,40.6899997,1688270.0
2008-07-02 09:15:00,41.77488268,44.0,38.8200012,41.6750003,2309307.5
2008-07-03 09:15:00,41.72494149,42.8,40.52,41.68,2035647.5
2008-07-04 09:15:00,41.70247074,44.6,39.2200012,41.3900006,1982180.0
2008-07-07 09:15:00,41.54623567,46.78,41.54623567,44.67,2150970.0
2008-07-08 09:15:00,43.10811784,46.36,42.1,44.24,2057955.0
2008-07-09 09:15:00,43.67405892,49.6,43.67405892,47.48,4480210.0
2008-07-10 09:15:00,45.57702946,50.58,45.57702946,49.175,2801390.0
2008-07-11 09:15:00,47.37601473,49.98,45.54,47.905,1428052.5
2008-07-14 09:15:00,47.64050736,47.64050736,44.4,45.49,1710452.5
2008-07-15 09:15:00,46.56525368,46.56525368,42.62,43.79,1522827.5
2008-07-16 09:15:00,45.17762684,45.84,42.02,43.97,4162560.0
2008-07-17 09:15:00,44.57381342,48.36,44.57381342,46.69,4916512.5
2008-07-18 09:15:00,45.63190671,50.76,45.63190671,48.86,3788197.5
2008-07-21 09:15:00,47.24595336,53.540004,47.24595336,50.975,2736820.0
2008-07-22 09:15:00,49.11047668,53.959996,49.11047668,51.919999,5071690.0
2008-07-23 09:15:00,50.51523785,56.0,50.51523785,54.525,5336905.0
2008-07-24 09:15:00,52.5201189,54.6,51.3,53.264999,1784130.0
