Date,symbol,open,high,low,close,volume
2018-07-05 09:15:00,NSE:JSWENERGY,66.400002,68.099998,65.599998,67.75,1026435.0
2018-07-06 09:15:00,NSE:JSWENERGY,66.75,67.400002,65.25,66.599998,853022.0
2018-07-09 09:15:00,NSE:JSWENERGY,67.199997,68.699997,67.0,68.099998,530308.0
2018-07-10 09:15:00,NSE:JSWENERGY,68.349998,68.699997,67.400002,67.900002,542095.0
2018-07-11 09:15:00,NSE:JSWENERGY,67.75,70.400002,67.0,69.300003,1333676.0
2018-07-12 09:15:00,NSE:JSWENERGY,69.300003,70.300003,66.800003,67.400002,661083.0
2018-07-13 09:15:00,NSE:JSWENERGY,67.849998,68.5,66.050003,66.400002,396902.0
2018-07-16 09:15:00,NSE:JSWENERGY,66.300003,66.449997,63.400002,63.599998,855622.0
2018-07-17 09:15:00,NSE:JSWENERGY,63.900002,65.0,62.900002,64.5,1106316.0
2018-07-18 09:15:00,NSE:JSWENERGY,64.5,65.400002,62.900002,63.200001,1054543.0
2018-07-19 09:15:00,NSE:JSWENERGY,63.400002,63.900002,62.200001,63.25,655775.0
2018-07-20 09:15:00,NSE:JSWENERGY,63.25,63.900002,61.75,61.849998,846317.0
2018-07-23 09:15:00,NSE:JSWENERGY,62.0,63.900002,61.75,63.5,686970.0
2018-07-24 09:15:00,NSE:JSWENERGY,63.5,65.449997,63.5,64.949997,661941.0
2018-07-25 09:15:00,NSE:JSWENERGY,65.400002,65.75,63.549999,64.150002,627889.0
2018-07-26 09:15:00,NSE:JSWENERGY,64.199997,65.699997,63.599998,63.900002,849090.0
2018-07-27 09:15:00,NSE:JSWENERGY,64.099998,68.849998,64.099998,66.75,5215948.0
2018-07-30 09:15:00,NSE:JSWENERGY,66.300003,66.849998,65.150002,65.699997,1025897.0
2018-07-31 09:15:00,NSE:JSWENERGY,65.699997,66.449997,65.050003,65.900002,839543.0
2018-08-01 09:15:00,NSE:JSWENERGY,66.0,66.5,65.150002,65.550003,578178.0
2018-08-02 09:15:00,NSE:JSWENERGY,65.550003,66.050003,64.599998,65.400002,520770.0
2018-08-03 09:15:00,NSE:JSWENERGY,65.699997,66.199997,65.150002,65.5,781540.0
2018-08-06 09:15:00,NSE:JSWENERGY,66.099998,68.449997,65.699997,68.0,2400926.0
2018-08-07 09:15:00,NSE:JSWENERGY,69.0,69.599998,66.599998,67.449997,893091.0
2018-08-08 09:15:00,NSE:JSWENERGY,67.699997,68.800003,66.300003,67.599998,790159.0
2018-08-09 09:15:00,NSE:JSWENERGY,67.75,68.849998,66.949997,68.099998,904104.0
2018-08-10 09:15:00,NSE:JSWENERGY,68.25,68.449997,66.150002,68.050003,804162.0
2018-08-13 09:15:00,NSE:JSWENERGY,67.800003,67.800003,66.5,66.949997,514882.0
2018-08-14 09:15:00,NSE:JSWENERGY,67.0,69.25,66.800003,68.949997,785673.0
2018-08-16 09:15:00,NSE:JSWENERGY,68.5,71.5,67.75,68.449997,4336801.0
2018-08-17 09:15:00,NSE:JSWENERGY,68.699997,68.800003,66.949997,67.449997,789985.0
